year,county,precinct,votes
2004,Clark,3415 - LAS,52037
2004,Clark,1523 - HEN,47676
2004,Clark,6491 - County,42008
2004,Washoe,RENO 445,40298
2004,Washoe,SPARKS 670,37516
2004,Clark,1310 - County,35522
2004,Clark,3482 - LAS,35440
2004,Washoe,RENO 239,33788
2004,Clark,6482 - County,33596
2004,Washoe,SPARKS 685,33166
2004,Clark,3514 - LAS,33132
2004,Washoe,RENO 120,32611
2004,Washoe,RENO 112,32318
2004,Washoe,SPARKS 804,32152
2004,Washoe,SPARKS 645,31868
2004,Clark,1311 - County,31425
2004,Clark,1522 - HEN,30649
2004,Clark,3494 - LAS,30644
2004,Clark,1467 - HEN,30420
2004,Clark,3507 - LAS,30059
2004,Clark,2404 - NLV,29803
2004,Washoe,SPARKS 682,29437
2004,Clark,3331 - County,29394
2004,Clark,3505 - LAS,29283
2004,Washoe,RENO 124,29102
2004,Clark,3530 - LAS,28652
2004,Clark,6481 - County,28649
2004,Clark,1350 - County,28606
2004,Washoe,RENO 350,28581
2004,Washoe,RENO 940,28170
2004,Clark,5414 - County,27968
2004,Washoe,RENO 537,27872
2004,Clark,3041 - LAS,27803
2004,Washoe,RENO 452,27726
2004,Clark,3481 - LAS,27723
2004,Washoe,RENO 516,27681
2004,Clark,3541 - LAS,27522
2004,Clark,3510 - LAS,27411
2004,Washoe,RENO 109,27209
2004,Clark,2361 - NLV,27103
2004,Clark,3404 - LAS,26914
2004,Clark,3520 - LAS,26838
2004,Clark,2365 - NLV,26811
2004,Washoe,RENO 106,26458
2004,Washoe,RENO 127,26442
2004,Clark,1451 - HEN,26356
2004,Clark,3219 - LAS,26219
2004,Clark,2435 - County,26188
2004,Washoe,RENO 807,26139
2004,Clark,1138 - County,26123
2004,Clark,3228 - LAS,26056
2004,Clark,1073 - LGH,26038
2004,Clark,2434 - County,26022
2004,Washoe,SPARKS 640,25853
2004,Clark,1515 - MES,25413
2004,Clark,3353 - LAS,25411
2004,Washoe,RENO 117,25375
2004,Clark,1149 - HEN,25348
2004,Clark,3502 - LAS,25257
2004,Clark,3330 - County,25244
2004,Clark,1355 - County,25168
2004,Washoe,SPARKS 648,25097
2004,Douglas,04-Carson Valley Estates,25053
2004,Clark,1003 - BOC,25031
2004,Washoe,RENO 505,24991
2004,Clark,1324 - County,24964
2004,Clark,3450 - LAS,24947
2004,Clark,3360 - LAS,24897
2004,Washoe,RENO 945,24722
2004,Clark,3130 - LAS,24598
2004,Clark,6441 - County,24542
2004,Clark,3442 - LAS,24510
2004,Clark,5424 - County,24460
2004,Washoe,RENO 534,24440
2004,Clark,2311 - LAS,24182
2004,Clark,1463 - HEN,24179
2004,Clark,3424 - LAS,24133
2004,Clark,3390 - LAS,24100
2004,Clark,1490 - HEN,24049
